age,region,urban_rural,education_level,employment_status,monthly_income_tzs,family_size,distance_to_hospital_km,distance_to_school_km,access_to_clean_water,electricity_access,housing_type,years_of_education,number_of_rooms,health_insurance,health_score,education_score,housing_score,quality_of_life_score
56,Mwanza,Rural,No Education,Self-employed,2229382,9,7.36,11.64,1,1,Brick/Iron Sheet,9,4,0,100.0,7.31,100.0,67.56
69,Mwanza,Rural,College,Unemployed,2543869,5,11.06,0.38,0,1,Brick/Iron Sheet,12,2,0,100.0,100.0,100.0,100.0
46,Kilimanjaro,Urban,Primary,Government,847948,5,16.87,11.23,1,0,Concrete/Modern,14,5,0,81.95,27.25,100.0,68.22
32,Tanga,Urban,Primary,Self-employed,2659244,4,3.02,1.29,0,1,Brick/Iron Sheet,17,5,1,100.0,56.99,100.0,84.95
60,Mbeya,Rural,Primary,Self-employed,2499940,9,3.52,6.74,0,1,Brick/Iron Sheet,3,1,1,100.0,66.18,99.65,88.06
25,Mtwara,Rural,Primary,Self-employed,1328312,5,0.01,1.85,0,0,Concrete/Modern,16,4,0,88.4,52.31,100.0,79.25
38,Tanga,Urban,University,Unemployed,931635,2,32.99,9.79,1,1,Brick/Iron Sheet,2,5,1,93.31,100.0,100.0,97.66
56,Kilimanjaro,Rural,Secondary,Private Sector,1477397,8,24.96,6.03,1,0,Mud/Thatch,1,2,1,94.77,55.96,74.77,75.19
36,Dar es Salaam,Urban,No Education,Private Sector,1567217,7,14.46,2.57,1,1,Mud/Thatch,3,1,0,100.0,18.54,87.13,67.63
40,Tanga,Rural,Secondary,Private Sector,2844686,8,0.82,0.4,0,1,Brick/Iron Sheet,0,2,0,100.0,81.76,100.0,93.61
28,Morogoro,Urban,Primary,Unemployed,331414,3,5.93,6.6,0,1,Brick/Iron Sheet,14,3,0,77.79,19.69,98.59,63.69
28,Mtwara,Urban,No Education,Private Sector,356812,4,1.07,4.8,1,0,Brick/Iron Sheet,0,1,0,100.0,0.0,92.32,62.7
41,Kilimanjaro,Urban,University,Private Sector,2163729,5,0.16,0.01,1,0,Mud/Thatch,5,1,1,100.0,100.0,61.08,88.33
53,Dar es Salaam,Rural,Secondary,Government,2502110,6,9.58,0.05,0,0,Brick/Iron Sheet,6,5,0,100.0,87.91,100.0,95.77
57,Dodoma,Rural,University,Self-employed,1743083,1,32.4,8.27,1,0,Brick/Iron Sheet,11,3,0,82.93,99.14,100.0,93.72
